SL.No,VILLAGE,NEAR BY LOCATION/LAND MARK,DISTRICT,MANDAL,PANCHAYATI,"GVMC ZONE,NO& NAME",GVMC WARD NO & NAME,VMRDA ZONE No.& Name,Registers office Location,GVMC/ VMRDA,ADD NEAR BY Location
3,Devada,Devada,VISAKHAPATNAM,Pedagantyada,Devada,Gajuwaka,Gajuwaka,Gajuwaka,Pedagantyada,GVMC ,Devada
3,Appikonda ,Appikonda ,VISAKHAPATNAM,Pedagantyada,Appikonda ,Gajuwaka,Gajuwaka,Gajuwaka,Pedagantyada,GVMC ,Appikonda 
4,Gullalapalem,Gullalapalem,VISAKHAPATNAM,Mulagada,Gullalapalem,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Gullalapalem
4,Malkapuram,Malkapuram,VISAKHAPATNAM,Mulagada,Malkapuram,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Malkapuram
4,Mulagada,Mulagada,VISAKHAPATNAM,Mulagada,Mulagada,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Mulagada
5,Waltair ward,Waltair ward,VISAKHAPATNAM,Maharanipeta,Waltair ward,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Waltair ward
5,Allipuram ward,Allipuram ward,VISAKHAPATNAM,Maharanipeta,Allipuram ward,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Allipuram ward
5,Mahranipeta ward,Mahranipeta ward,VISAKHAPATNAM,Maharanipeta,Mahranipeta ward,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Mahranipeta ward
5,Market ward,Market ward,VISAKHAPATNAM,Maharanipeta,Market ward,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Market ward
5,Seetharama swamy temple ward,Seetharama swamy temple ward,VISAKHAPATNAM,Maharanipeta,Seetharama swamy temple ward,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Seetharama swamy temple ward
5,Chengala rao peta ward,Chengala rao peta ward,VISAKHAPATNAM,Maharanipeta,Chengala rao peta ward,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Chengala rao peta ward
5,Fort ward,Fort ward,VISAKHAPATNAM,Maharanipeta,Fort ward,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Fort ward
5,Godari ward,Godari ward,VISAKHAPATNAM,Maharanipeta,Godari ward,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Godari ward
5,Shivalayam ward,Shivalayam ward,VISAKHAPATNAM,Maharanipeta,Shivalayam ward,Assilmetta,Assilmetta,Assilmetta,VISAKHAPTNAM R.O.,GVMC ,Shivalayam ward
6,VALIMERAKA,VALIMERAKA,VISAKHAPATNAM,Pendurthi,VALIMERAKA,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,VALIMERAKA
6,JUTTADA,JUTTADA,VISAKHAPATNAM,Pendurthi,JUTTADA,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,JUTTADA
6,RAJAYYAPETA,RAJAYYAPETA,VISAKHAPATNAM,Pendurthi,RAJAYYAPETA,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,RAJAYYAPETA
6,GORAPALLI,GORAPALLI,VISAKHAPATNAM,Pendurthi,GORAPALLI,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,GORAPALLI
6,SARIPALLI,SARIPALLI,VISAKHAPATNAM,Pendurthi,SARIPALLI,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,SARIPALLI
6,PINAGADI ,PINAGADI ,VISAKHAPATNAM,Pendurthi,PINAGADI ,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,PINAGADI 
6,S.R.PURAM,S.R.PURAM,VISAKHAPATNAM,Pendurthi,S.R.PURAM,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,S.R.PURAM
6,PEDAGADI,PEDAGADI,VISAKHAPATNAM,Pendurthi,PEDAGADI,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,PEDAGADI
6,RAMPURAM,RAMPURAM,VISAKHAPATNAM,Pendurthi,RAMPURAM,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,RAMPURAM
6,CHINTHAGATLA,CHINTHAGATLA,VISAKHAPATNAM,Pendurthi,CHINTHAGATLA,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,CHINTHAGATLA
6,J.P.PALEM,J.P.PALEM,VISAKHAPATNAM,Pendurthi,J.P.PALEM,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,J.P.PALEM
6,GURRAMPALEM,GURRAMPALEM,VISAKHAPATNAM,Pendurthi,GURRAMPALEM,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,GURRAMPALEM
6,MUDAPAKA,MUDAPAKA,VISAKHAPATNAM,Pendurthi,MUDAPAKA,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,MUDAPAKA
6,PULAGALAPALEM,PULAGALAPALEM,VISAKHAPATNAM,Pendurthi,PULAGALAPALEM,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,PULAGALAPALEM
6,CHINNAMUSHIDIWADA,CHINNAMUSHIDIWADA,VISAKHAPATNAM,Pendurthi,CHINNAMUSHIDIWADA,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,CHINNAMUSHIDIWADA
6,PENDURTHI,PENDURTHI,VISAKHAPATNAM,Pendurthi,PENDURTHI,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,PENDURTHI
6,NARAVA,NARAVA,VISAKHAPATNAM,Pendurthi,NARAVA,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,NARAVA
6,PORULUPALEM,PORULUPALEM,VISAKHAPATNAM,Pendurthi,PORULUPALEM,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,PORULUPALEM
6,CHIMALAPALLI,CHIMALAPALLI,VISAKHAPATNAM,Pendurthi,CHIMALAPALLI,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,CHIMALAPALLI
6,LAXMIPURAM,LAXMIPURAM,VISAKHAPATNAM,Pendurthi,LAXMIPURAM,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,LAXMIPURAM
6,KRISHNARAYAPURAM,KRISHNARAYAPURAM,VISAKHAPATNAM,Pendurthi,KRISHNARAYAPURAM,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,KRISHNARAYAPURAM
6,PURUSOTHAPURAM,PURUSOTHAPURAM,VISAKHAPATNAM,Pendurthi,PURUSOTHAPURAM,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,PURUSOTHAPURAM
6,VEPAGUNTA,VEPAGUNTA,VISAKHAPATNAM,Pendurthi,VEPAGUNTA,Pendurthi,Pendurthi,Pendurthi,Pendurthi,GVMC ,VEPAGUNTA
7,Kommadi,Kommadi,VISAKHAPATNAM,Visakhapatnam( R ),Kommadi,Assilmetta,Assilmetta,Assilmetta,Madhurawada,GVMC ,Kommadi
7,Bakkannapalem,Bakkannapalem,VISAKHAPATNAM,Visakhapatnam( R ),Bakkannapalem,Assilmetta,Assilmetta,Assilmetta,Madhurawada,GVMC ,Bakkannapalem
7,P.M.Palem,P.M.Palem,VISAKHAPATNAM,Visakhapatnam( R ),P.M.Palem,Assilmetta,Assilmetta,Assilmetta,Madhurawada,GVMC ,P.M.Palem
7,Paradesipalem,Paradesipalem,VISAKHAPATNAM,Visakhapatnam( R ),Paradesipalem,Assilmetta,Assilmetta,Assilmetta,Madhurawada,GVMC ,Paradesipalem
7,Mudasarlova,Mudasarlova,VISAKHAPATNAM,Visakhapatnam( R ),Mudasarlova,Assilmetta,Assilmetta,Assilmetta,Madhurawada,GVMC ,Mudasarlova
7,Rushikonda,Rushikonda,VISAKHAPATNAM,Visakhapatnam( R ),Rushikonda,Assilmetta,Assilmetta,Assilmetta,Madhurawada,GVMC ,Rushikonda
7,Yendada,Yendada,VISAKHAPATNAM,Visakhapatnam( R ),Yendada,Assilmetta,Assilmetta,Assilmetta,Madhurawada,GVMC ,Yendada
7,Chinagadili,Chinagadili,VISAKHAPATNAM,Visakhapatnam( R ),Chinagadili,Assilmetta,Assilmetta,Assilmetta,Madhurawada,GVMC ,Chinagadili
7,Madhurawada,Madhurawada,VISAKHAPATNAM,Visakhapatnam( R ),Madhurawada,Assilmetta,Assilmetta,Assilmetta,Madhurawada,GVMC ,Madhurawada
7,Adivivaram,Adivivaram,VISAKHAPATNAM,Visakhapatnam( R ),Adivivaram,Assilmetta,Assilmetta,Assilmetta,Madhurawada,GVMC ,Adivivaram
,Dondaparthy,Dondaparthy,VISAKHAPATNAM,Seethammadhara,Dondaparthy,Assilmetta,Assilmetta,Assilmetta,Dondaparthy,GVMC ,Dondaparthy
,Allipuram Extension ward,Allipuram Extension ward,VISAKHAPATNAM,Seethammadhara,Allipuram Extension ward,Assilmetta,Assilmetta,Assilmetta,Dondaparthy,GVMC ,Allipuram Extension ward
,Resapuvanipalem,Resapuvanipalem,VISAKHAPATNAM,Seethammadhara,Resapuvanipalem,Assilmetta,Assilmetta,Assilmetta,Dondaparthy,GVMC ,Resapuvanipalem
,Maddilapalem,Maddilapalem,VISAKHAPATNAM,Seethammadhara,Maddilapalem,Assilmetta,Assilmetta,Assilmetta,Dondaparthy,GVMC ,Maddilapalem
,Venkojipalem,Venkojipalem,VISAKHAPATNAM,Seethammadhara,Venkojipalem,Assilmetta,Assilmetta,Assilmetta,Dondaparthy,GVMC ,Venkojipalem
,Pedawaltair,Pedawaltair,VISAKHAPATNAM,Seethammadhara,Pedawaltair,Assilmetta,Assilmetta,Assilmetta,Dondaparthy,GVMC ,Pedawaltair
,Chinawaltair,Chinawaltair,VISAKHAPATNAM,Seethammadhara,Chinawaltair,Assilmetta,Assilmetta,Assilmetta,Dondaparthy,GVMC ,Chinawaltair
,Chandaka,Chandaka,VISAKHAPATNAM,Anandapuram,Chandaka,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Chandaka
,NGR Puram Bit-1,NGR Puram Bit-1,VISAKHAPATNAM,Anandapuram,NGR Puram Bit-1,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,NGR Puram Bit-1
,NGR Puram Bit-2,NGR Puram Bit-2,VISAKHAPATNAM,Anandapuram,NGR Puram Bit-2,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,NGR Puram Bit-2
,Palavalasa,Palavalasa,VISAKHAPATNAM,Anandapuram,Palavalasa,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Palavalasa
,Pekeru,Pekeru,VISAKHAPATNAM,Anandapuram,Pekeru,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Pekeru
,Bakurupalem,Bakurupalem,VISAKHAPATNAM,Anandapuram,Bakurupalem,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Bakurupalem
,Kanamam,Kanamam,VISAKHAPATNAM,Anandapuram,Kanamam,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Kanamam
,Dabbanda,Dabbanda,VISAKHAPATNAM,Anandapuram,Dabbanda,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Dabbanda
,Kolavanipalem,Kolavanipalem,VISAKHAPATNAM,Anandapuram,Kolavanipalem,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Kolavanipalem
,Tangudubilli,Tangudubilli,VISAKHAPATNAM,Anandapuram,Tangudubilli,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Tangudubilli
,Gottipalle,Gottipalle,VISAKHAPATNAM,Anandapuram,Gottipalle,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Gottipalle
,Ramavaram,Ramavaram,VISAKHAPATNAM,Anandapuram,Ramavaram,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Ramavaram
,Gorinta,Gorinta,VISAKHAPATNAM,Anandapuram,Gorinta,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Gorinta
,Gandigundam,Gandigundam,VISAKHAPATNAM,Anandapuram,Gandigundam,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Gandigundam
,Jaganadhapuram,Jaganadhapuram,VISAKHAPATNAM,Anandapuram,Jaganadhapuram,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Jaganadhapuram
,Tarluvada,Tarluvada,VISAKHAPATNAM,Anandapuram,Tarluvada,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Tarluvada
,Gidijala,Gidijala,VISAKHAPATNAM,Anandapuram,Gidijala,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Gidijala
,Sontyam,Sontyam,VISAKHAPATNAM,Anandapuram,Sontyam,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Sontyam
,Gudilova,Gudilova,VISAKHAPATNAM,Anandapuram,Gudilova,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Gudilova
,Gambheeeram,Gambheeeram,VISAKHAPATNAM,Anandapuram,Gambheeeram,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Gambheeeram
,Vemulavalasa,Vemulavalasa,VISAKHAPATNAM,Anandapuram,Vemulavalasa,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Vemulavalasa
,Bheemannadorapalem,Bheemannadorapalem,VISAKHAPATNAM,Anandapuram,Bheemannadorapalem,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Bheemannadorapalem
,Vellanki,Vellanki,VISAKHAPATNAM,Anandapuram,Vellanki,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Vellanki
,Peddipalem,Peddipalem,VISAKHAPATNAM,Anandapuram,Peddipalem,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Peddipalem
,Anandapuram,Anandapuram,VISAKHAPATNAM,Anandapuram,Anandapuram,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Anandapuram
,Pandalapaka,Pandalapaka,VISAKHAPATNAM,Anandapuram,Pandalapaka,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Pandalapaka
,Mukundapuram,Mukundapuram,VISAKHAPATNAM,Anandapuram,Mukundapuram,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Mukundapuram
,Boni,Boni,VISAKHAPATNAM,Anandapuram,Boni,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Boni
,Sirlapalem,Sirlapalem,VISAKHAPATNAM,Anandapuram,Sirlapalem,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Sirlapalem
,Mutcherla,Mutcherla,VISAKHAPATNAM,Anandapuram,Mutcherla,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Mutcherla
,Kusuluvada,Kusuluvada,VISAKHAPATNAM,Anandapuram,Kusuluvada,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Kusuluvada
,Mamidilova,Mamidilova,VISAKHAPATNAM,Anandapuram,Mamidilova,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,Mamidilova
,G.S.Agraharam,G.S.Agraharam,VISAKHAPATNAM,Anandapuram,G.S.Agraharam,Anandapuram,Anandapuram,Anandapuram,Anandapuram,PANCHAYATI & VMRDA,G.S.Agraharam
,Talavalasa,Talavalasa,VISAKHAPATNAM,Bheemunipatnam,Talavalasa,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Anandapuram,PANCHAYATI & VMRDA,Talavalasa
,Majjivalasa,Majjivalasa,VISAKHAPATNAM,Bheemunipatnam,Majjivalasa,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,PANCHAYATI & VMRDA,Majjivalasa
,J.V. Agraharam,J.V. Agraharam,VISAKHAPATNAM,Bheemunipatnam,J.V. Agraharam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Anandapuram,GVMC ,J.V. Agraharam
,Kothavalasa,Kothavalasa,VISAKHAPATNAM,Bheemunipatnam,Kothavalasa,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Anandapuram,GVMC ,Kothavalasa
,Nidigattu,Nidigattu,VISAKHAPATNAM,Bheemunipatnam,Nidigattu,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Anandapuram,GVMC ,Nidigattu
,R.Y.Agraharam,R.Y.Agraharam,VISAKHAPATNAM,Bheemunipatnam,R.Y.Agraharam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,GVMC ,R.Y.Agraharam
,Chepaluppada,Chepaluppada,VISAKHAPATNAM,Bheemunipatnam,Chepaluppada,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,GVMC ,Chepaluppada
,Nerellavalasa,Nerellavalasa,VISAKHAPATNAM,Bheemunipatnam,Nerellavalasa,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,GVMC ,Nerellavalasa
,ANNAVARAM,ANNAVARAM,VISAKHAPATNAM,Bheemunipatnam,ANNAVARAM,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,PANCHAYATI & VMRDA,ANNAVARAM
,AMANAM,AMANAM,VISAKHAPATNAM,Bheemunipatnam,AMANAM,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,PANCHAYATI & VMRDA,AMANAM
,BODAMETTAPALEM,BODAMETTAPALEM,VISAKHAPATNAM,Bheemunipatnam,BODAMETTAPALEM,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,PANCHAYATI & VMRDA,BODAMETTAPALEM
,CHIPPADA,CHIPPADA,VISAKHAPATNAM,Bheemunipatnam,CHIPPADA,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,PANCHAYATI & VMRDA,CHIPPADA
,DAKAMARRI,DAKAMARRI,VISAKHAPATNAM,Bheemunipatnam,DAKAMARRI,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,PANCHAYATI & VMRDA,DAKAMARRI
,NAGARAPALEM,NAGARAPALEM,VISAKHAPATNAM,Bheemunipatnam,TATTURU NAGARAPALEM,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,PANCHAYATI & VMRDA,NAGARAPALEM
,SINGANABANDHA,SINGANABANDHA,VISAKHAPATNAM,Bheemunipatnam,SINGANABANDHA,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,PANCHAYATI & VMRDA,SINGANABANDHA
,MULAKUDDU,MULAKUDDU,VISAKHAPATNAM,Bheemunipatnam,MULAKUDDU,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,PANCHAYATI & VMRDA,MULAKUDDU
,KAPULUPPADA,KAPULUPPADA,VISAKHAPATNAM,Bheemunipatnam,KAPULUPPADA,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,GVMC ,KAPULUPPADA
,CHITTIVALASA,CHITTIVALASA,VISAKHAPATNAM,Bheemunipatnam,CHITTIVALASA,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,GVMC ,CHITTIVALASA
,K.V.BHOOMULU,K.V.BHOOMULU,VISAKHAPATNAM,Bheemunipatnam,K.V.BHOOMULU,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,GVMC ,K.V.BHOOMULU
,KUMMARIPALEM,KUMMARIPALEM,VISAKHAPATNAM,Bheemunipatnam,KUMMARIPALEM,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,GVMC ,KUMMARIPALEM
,TATITHURU,TATITHURU,VISAKHAPATNAM,Bheemunipatnam,TATITHURU,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Anandapuram,PANCHAYATI & VMRDA,TATITHURU
,SANGIVALASA,SANGIVALASA,VISAKHAPATNAM,Bheemunipatnam,SANGIVALASA,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,GVMC ,SANGIVALASA
,TAGARAPUVALASA,TAGARAPUVALASA,VISAKHAPATNAM,Bheemunipatnam,TAGARAPUVALASA,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,GVMC ,TAGARAPUVALASA
,Bheemunipatnam,Bheemunipatnam,VISAKHAPATNAM,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,GVMC ,Bheemunipatnam
,Narayanaraju peta,Narayanaraju peta,VISAKHAPATNAM,Bheemunipatnam,Narayanaraju peta,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,Bheemunipatnam,PANCHAYATI & VMRDA,Narayanaraju peta
,Ayinada,Ayinada,VISAKHAPATNAM,Padmanabham,Ayinada,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Ayinada
,Narasapuram,Narasapuram,VISAKHAPATNAM,Padmanabham,Narasapuram,Padmanabham,Padmanabham,Padmanabham,Bheemunipatnam,PANCHAYATI & VMRDA,Narasapuram
